한글명,영문명,등급,효과별,분류,성분설명,연관성분,참고논문
피코시아닌,Phycocyan*,훌륭함,"진정, 안티에이징","항산화제, 착색제-색소, 식물추출물","피코시아닌은 해조류에서 유래한 추출물로 항산화 효과가 있어 환경 스트레스로부터 피부를 보호할 수 있다. 연구에 따르면 이 성분은 진정 효과가 있어 모든 피부 타입 특히 손상 혹은 반응성 피부에게 환영받는 성분이다.
다양한 종류의 조류로부터 유도될 수 있으며, 청색조류에서 유래된 시아노 피코시아닌(cyano-phycocyanin), 홍조류에서 유래한 R-피코시아닌(R-phycocyanin), 녹조와 홍조로부터 유래한 알로피코시아닌(allophycocyanin) 세 종류로 나뉜다. 특히 시아노-피코시아닌은 변색된 피부를 눈에 띄게 완화하는 특징이 연구되어 왔으며, 이 부분에서 가능성을 보여준다.
또한 새로운 연구자들은 네 번째 유형으로 해양 시아노박테리움 시네초코쿠스(Synechococcus)종에서 파생된 R-피코시아닌 II(R-phycocyanin II)까지 포함한다.
천연 색소를 함유하고 있어 피코시아닌은 스킨케어 효과 이외에도 화장품의 착색제로 연구되고 있다.
피코시아닌의 높은 분자량 때문에 일부 화학자들은 피부 전달력과 침투력을 향상시키기 위해 캡슐화하는 방식을 선호한다. 다른 항산화제와 마찬가지로 공기와 빛 노출이 없을 때 가장 안정적으로 유지되기 때문에 피코시아닌이 함유된 제품은 입구가 넓은 자 형태의 용기에 담지 않는 것이 좋다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",조류,"Molecules, August 2022, pages 1-12
Plants, May 2022, pages 1-18
Clinical Applications of Biomaterials, February 2016, ePublication
Mediators of Inflammation, 2002, pages 81-85"
피토세라마이드,phytoceramides,훌륭함,"안티에이징, 수분 공급",유연제(연화제),"피토세라마이드는 식물에서 유래한 세라마이드이다. 피토는 식물을 의미한다. 건강한 피부에서 발견되는 세라마이드와 정확히 일치하게 만들 수 있지만 합성 물질인 만큼 피부에 자연스럽게 적용되지는 않는다. 국소적으로 발라서 흡수하는 경우와 경구 섭취하는 경우 모두 더욱 건강하고 탄력 있고 촉촉한 피부를 가꾸는 데 동일한 역할을 한다. 피토세라마이드는 귀리, 밀, 쌀, 옥수수, 기타 식물에서 얻을 수 있으며, 메도우폼(meadowfoam), 모링가(moringa), 해바라기 등 일부 무향의 식물성 오일에도 함유되어 있다.","세라마이드, 글루코실세라마이드","European Journal of Pharmaceutics and Biopharmaceutics, June 2018, Pages 260-269
Clinical, Cosmetic, and Investigational Dermatology, September 2017, pages 363-371Skin Pharmacology and Physiology, April 2017, pages 115-138
The Japanese Journal of Clinical Pathology, March 2007, pages 209-215
Allergy, November 2005, pages 1,454-1,455"
피토스테롤,Phytosterols*,훌륭함,"수분 공급, 진정",식물추출물,"식물성 식품에서 발견되는 자연 발생 성분으로 콜레스테롤과 유사한 분자 구조를 지녔다. 카놀라유, 땅콩유, 홍화유, 참기름과 같은 식물성 기름에 높은 농도로 함유되어 있다.
전반적으로 견과류, 씨앗, 콩류는 몸과 피부에 모두 좋은 피토스테롤 공급원이다. 국소적으로 사용하면 피부를 진정시키고 촉촉하게 만든다. 특히 콩에서 추출한 피토스테롤은 피부를 부드럽고 탄탄하게 채워 더욱 어려보이게 가꿔준다.
The usage level of phytosterols in cosmetics typically falls between 0.5–2%; however, higher amounts may be used if desired.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","콩추출물, 돌콩스테롤","BioMed Research International, July 2018, ePublication
Skin Pharmacology and Physiology, April 2017, pages 115-138
Nutrients, December 2016, ePublication
Journal of Cosmetic Science, May-June 2008, pages 217-224"
피토스테릴/옥틸도데실라우로일글루타메이트,Phytosteryl/Octyldodecyl Lauroyl Glutamate*,훌륭함,수분 공급,유연제(연화제),"다양한 아미노산, 식물성 스테롤(피토스테롤), 피부 연화 성분인 옥틸도데칸올의 혼합물이다. 이 합성 및 천연 하이브리드 성분은 화장품에서 연화제 및 피부 컨디셔닝제로 작용하여, 수분 손실을 방지하고 악화된 피부를 진정시킨다. 이 성분의 피토스테롤 함량은 항산화제를 제공한다.
대한화장품성분사전에 등록된 표준화 국문, 영문명칭",옥틸도데칸올,"The Journal of the American College of Clinical Wound Specialists, December 2012, pages 92-94
The Journal of Clinical and Aesthetic Dermatology, January 2009, pages 36-40"
피토스핑고신,Phytosphingosine*,훌륭함,"안티에이징, 수분 공급",유연제(연화제),"피토스핑고신은 긴 사슬의 복합 지방알코올이다. 피부 상층부에서 자연적으로 발견된다. 피부 내 천연보습인자(NMF)를 유지해주는 필수적인 부분이며 피부를 전반적으로 건강하게 가꿔준다. 또, 피부 구성의 일부인 특정 세라마이드의 기본 구성 요소이다.
스킨 케어 제품에 함유돼, 피부 장벽을 보충해주고 더욱 어려 보이는 피부로 가꿔준다. 최근 연구에서 밝혀진바, 피부를 진정시키는 효과가 있어 홍조와 민감성을 줄이는 데도 도움을 준다.
피부에서 자연적으로 발생하고 건강한 피부를 유지하는 데 필수적인 성분이기 때문에 화장품에 함유해도 매우 안전하다. 실제로 1% 초과하여 사용하는 경우는 매우 드물고, 0.05% 정도 함유했을 때 효과적이라고 알려져 있다.
한 가지 재미있는 상식을 언급하자면, 이 성분에 대한 명칭에 대한 유래이다. 피토스핑고신이라는 이름은 1884년 화학자 J. L. W. Thudichum이 만든 스핑고이드(sphingoid)라는 용어에서 유래되었다. 이 물질의 분자들이 줄지어 있는 모습이 신화 속 스핑크스(Sphinx)의 수수께끼와 같다고 하여 지어진 이름이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",세라마이드,"Journal of Dermatological Science, January 2020, Volume 97, Issue 1, pages 2-8
Archives of Dermatological Research, December 2017, Volume 309, Issue 10, pages 795-803
Biochimica et Biophysica Acta: Biomembranes, May 2017, Volume 1859, Issue 5, pages 824-834
International Journal of Cosmetic Science, June 2007, Volume 29, Issue 3, pages 181-190
Molecular Medicine, January-March 2006, pages 17-24
Journal of Investigative Dermatology, October 2003, issue 5, pages 1135–1137"
피토스핑고신포스페이트,Phytosphingosine Phosphate*,훌륭함,"안티에이징, 수분 공급",유연제(연화제),"피토스핑고신과 포스포릭애씨드로부터 파생된 에스터의 혼합물이다. 그 결과 생성되는 복합 지질은 피부를 부드럽게 하고 수분 공급하는 효과가 있다. 피토스핑고신포스페이트는 식물에서 유래했거나 합성으로 만들 수 있다. 피부 표면에 신호를 보내 피부 표면을 강화하고 피부에서 자연적으로 발생하는 물질과 함께 작용하여 더 단단하고 매끄러운 피부로 가꾸는 역할을 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",세라마이드,"International Journal of Molecular Medicine, March 2017, pages 741-748; and March 2014, pages 649-653
The New Phytologist, April 2012, pages 181-191"
하이드로제네이티드돌콩오일,Hydrogenated Soybean Oil*,훌륭함,수분 공급,"유연제(연화제), 항산화제, 수분증발차단제-불투명화제","콩에서 유래한 무향의 식물성 오일이다. 수소화의 영향으로 액체 상태가 아닌 반고체 상태를 유지한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","돌콩오일, 돌콩 추출물",
하이드로제네이티드레시틴,Hydrogenated Lecithin*,훌륭함,수분 공급,"유연제(연화제), 유화제, 분산제","하이드로제네이티드레시틴은 인지질로, 피부 회복 성분인 레시틴을 수소화(Hydrogenation)하여 생성된다. 이 성분은 합성으로 제조되거나 동물(공급원은 달걀 노른자이다) 또는 식물에서 파생될 수 있다.
피부 관리 및 기타 퍼스널 케어 제형에서 하이드로제네이티드레시틴은 분산제, 피부컨디셔닝제, 연화제 및 유화제 기능을 한다. 다른 인지질과 마찬가지로, 연구에 따르면 이 성분은 다른 피부 관리 성분들의 흡수를 향상시켜 피부에 더 큰 효능을 발휘할 수 있게 한다.
원료로서의 하이드로제네이티드레시틴은 공급원에 따라 달라질 수 있으며, 설명에 따르면 흰색에서 회색 빛이 도는 베이지색의 분말 형태에 이르기까지 다양하다.
2020년 Cosmetic Ingredient Review Expert Panel의 안정성 평가에 따르면, 보고된 하이드로제네이티드레시틴의 최대 사용 농도는 얼굴과 목에 사용되는 제품에 5%로 함유되어 있었으며, 15% 이하의 농도는 씻어내는 제품 및 씻어내지 않는 제품에 모두에 안전하다고 간주된다.
단, Cosmetic Ingredient Review Expert Panel은 스프레이와 같은 흡입 가능한 제품에 함유된 하이드로제네이티드레시틴에 대한 안전성을 증명하는 데이터가 불충분하다고 결론지었다. 따라서 이러한 유형의 제품에서 이 성분은 드물게 찾아볼 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",레시틴,"International Journal of Toxicology, September 2020, pages 5S-25S
Nanocosmetics, June 2019, pages 95–140
Current Drug Delivery, 2016, pages 111–120
Pharmaceutical Research, February 2013, pages 538–55"
하이드로제네이티드에틸헥실올리베이트,Hydrogenated Ethylhexyl Olivate*,훌륭함,수분 공급,유연제(연화제),"하이드로제네이티드에틸헥실올리베이트는 에틸헥실올리베이트의 수소화 된 형태다. 수소첨가 과정에는 수소 분자가 더해져 액체형의 물질을 고체 혹은 반고체 형태로 변형시키는 작업이 포함되어 있다.
이 성분은 스킨 및 헤어 케어 제품에 유연제, 컨디셔닝 성분으로 활용되고 실리콘보다 더 환경 친화적인 점을 내세워 홍보된다.
독립적인 Cosmetic Ingredient Review Panel은 이 성분이 안전하다고 평가했다. 일반적으로 4-15.5% 사이의 농도로 Leave-on 제품에 함유되어 사용된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"LotionCrafter, Supplier, Accessed January 2023
Molecules, October 2020, ePublication
International Journal of Toxicology, September 2015, pages 5S-69S"
하이드로제네이티드올리브오일,Hydrogenated Olive Oil*,훌륭함,"안티에이징, 수분 공급","유연제(연화제), 항산화제, 식물추출물","항산화제의 풍부한 공급원이다. 제형의 점성과 연화성을 향상해준다. 오일을 수소화하면 천연 액체 상태에서 고체로 바뀐다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",(아몬드/보리지/아마/올리브)애씨드/글리세라이즈,"CosmeticsInfo.org, Accessed March 2021, ePublication
Journal of Cosmetic Dermatology, 2019, pages 1575-1579
International Journal of Toxicology, December 2017, page 51S-129S"
하이드로제네이티드채종유,Hydrogenated Rapeseed Oil*,훌륭함,수분 공급,"유연제(연화제), 질감향상제, 수분증발차단제-불투명화제","수소화 과정을 거친 무향의 식물성 오일이다. 이러한 수소화 유형은 오일에 수소 가스를 첨가하여 한층 안정적인 상태를 만들어주며 질감을 바꿔줄 수 있다. 이때 보통은 액체(오일) 상태에서 반 고체 상태로 변화한다. 피부에서는 연화제, 증점제, 수분차단제로 작용한다. 식물성 오일인 하이드로제네이티드채종유의 항산화 성분(주로 비타민 E, 시나피닉애씨드로 알려진 화합물)과 매우 안정적인 오메가-9 에루식애씨드와 같은 고도불포화지방산은 수분 손실을 막아주고 피부 표면을 재생해주며 피부의 항산화 물질 공급을 강화하여 피부를 건강하고 젊게 보이도록 도와줍니다.
참고로 채종유(Rapeseed oil)는 카놀라오일(Canola oil)로도 알려져 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",카놀라오일,"Phytotherapy Research, February 2020, pages 254-269
Journal of the American Oil Chemists' Society, January 2017, pages 37-46
International Journal of Cosmetic Science, October 2015, pages 496-505"
하이드로코틸추출물,Hydrocotyl Extract,훌륭함,"안티에이징, 진정","식물추출물, 항산화제","하이드로코틸추출물은 아시아에서 주로 자라는 다년생 허브의 추출물이다. 성분 목록에는 아시아틱애씨드(Asiatic acid), 고투콜라(Gotu kola) 또는 병풀(_Centella asiatica_)로 기재할 수 있다. 수년 동안 요리 및 의약 용도로 사용되었지만 많은 전통적인 식물 추출물과 마찬가지로 피부 관리 성분으로 인기를 얻고 있다. 병풀은 “시카 크림”으로 알려진 보습제의 핵심 성분으로, 한국에서 처음으로 인기를 얻었다. “시카(Cica)”는 센텔라 아시아티카(_Centella asiatica_)의 줄임말로, 시카 크림은 진정과 항염 작용을 한다고 잘 알려져 있다.
병풀은 항산화제 역할을 하는 마데카소사이드와 같은 활성 화합물 덕분에 피부에 여러 이점을 준다. 병풀은 그 자체로도 강력한 항산화 특성과 아미노산의 풍부한 공급원이라고 나타났으며, 이에 더불어 손상되거나 뒤집힌 피부를 진정시키는 데 좋은 수분 공급제라는 추가적인 연구도 있다.
병풀은 5%의 농도에서 피부의 수분 함량을 눈에 띄게 개선해주었으며, 더 낮은 농도 또한 진정 및 항산화 효과를 비롯하여 피부에 가치가 있다. 예를 들어, 0.2-0.5%의 농도는 세라마이드엔에스(Ceramide NS)를 촉진시켜 수분을 유지하고 피부 장벽을 개선하는 데 도움을 준다. 세라마이드엔에스는 모르타르 물질의 일종으로, 피부 표면을 매끄럽게 하고 온전하게 유지시킨다.","병풀추출물, 고투콜라",
하이드로콜로이드,Hydrocolloid,훌륭함,안티아크네,"흡수제, 고분자화합물","한국의 경우 여드름 완화 또는 트러블 부위에 부착하는 하이드로콜로이드 패치는 화장품에 해당하지 않습니다.
하이드로콜로이드는 단일 성분이 아닌, 폴리머 기반 소재로 만들어진 특수한 유형의 접착성 상처 드레싱을 지칭하는 단어이다. 이 드레싱의 질감은 기존의 섬유질 붕대와는 달리 탄력 있고 거의 젤과 같은 느낌을 준다.
하이드로콜로이드 붕대의 목적은 삼출물(열린 상처에서 스며 나오는 세포와 체액)을 흡수하고, 피부에서 분비되는 삼출물을 흡수하여 피부 손상이 치유되는 동안 보호 장벽을 제공하는 것이다. 수십 년 동안 의료 환경에서 사용되어 온 이 붕대는 이제 일반 의약품으로, 특히 여드름 치료에 널리 사용되고 있다.
연구에 따르면 하이드로콜로이드 붕대나 패치는 특히 화이트헤드(전형적인 여드름 뾰루지 또는 폐쇄성 면포라고 함)에 효과적일 수 있다. 연구에 따르면 하이드로콜로이드 붕대는 내부 물질을 끌어내어 부기를 완화하고 여드름 발생 기간을 줄이는 데 도움이 될 수 있다. 따라서 일부 유형의 여드름으로 인한 불편함을 완화하는 데에도 도움이 된다.
다른 장점은 여드름을 보호막으로 덮어 치유에 부정적인 영향을 미치는 외부 박테리아와 자외선으로부터 보호한다는 것이다. 따라서 하이드로콜로이드 밴드나 패치는 특히 여드름을 빠르게 없애고 싶을 때 좋은 선택이다.
또 다른 장점은 하이드로콜로이드 패치로 여드름을 덮으면 뜯는 것을 방지하여 여드름이 흉터로 남을 가능성을 줄여준다는 것이다.
하이드로콜로이드 패치는 도움이 되지만, 가끔 눈에 띄는 여드름이 생길 때 가장 효과적이며, 여드름 치료에 효과적인 성분이 함유된 순하고 자극적이지 않으며 무향 제품을 포함한 종합적인 스킨케어 루틴의 일부일 뿐이다.",,"Science Direct, Website, Accessed November 2025
WCET Journal, September 2025, pages 28-36
Journal of Clinical Medicine, February 2025, pages 1-11
Medicine Advances, December 2023, pages 318-329
Journal of the American Academy of Dermatology International, March 2022, pages 37-42"
하이드록시데실유비퀴논,Hydroxydecyl Ubiquinone*,훌륭함,안티에이징,항산화제,"유비퀴논과 유사한 합성 항산화제이다. 이 성분에 대한 연구는 있지만, 스킨 케어 제품에 많이 쓰이는 다른 강력한 항산화제나 항산화제 조합과 비교해 효능을 파악한 연구는 없다.
추측건대, 항산화제 혼합제의 효능이 이 성분보다는 훨씬 좋을 것이다. 하지만 정확히 알 수는 없다. 공개된 어느 연구에서는 하이드록시데실유비퀴논을 적포도 항산화제 화합물인 레스베라트롤, L-에르고티오네인과 비교했고 이 두 화합물이 더욱 우수하다는 사실을 발견했다.
이처럼 현재까지도 다른 성분 대비 하이드록시데실유비퀴논의 우월성을 주장하는 발표 논문이나 동료 심사(peer-reviewed)를 거친 연구는 없다. 그렇다고 이 성분이 피부에 이로운 항산화제가 아니라는 의미는 아니다. 유비퀴논이 인체에 주는 영향을 알고 있는 이상, 이 또한 배제할 만한 성분은 아니다. 하지만 확실한 것은 가장 좋지도, 가장 강력한 항산화제도 아니라는 점이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Journal of Cosmetic Dermatology, March 2008, pages 2-7
Journal of Cosmetic Dermatology, September 2007, pages 183-188
The Journal of Investigative Dermatology, May 2006, pages 1185-1187"
하이드록시스테로이드옥시도리덕타아제,Hydroxysteroid Oxidoreductase*,훌륭함,"안티에이징, 수분 공급","항산화제, 보습제(습윤제)","환경적 손상으로부터 다양한 형태의 산소를 차단하는 대규모 효소 그룹이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",하이드록시스테로이드옥시도리덕타아제,
하이드록시스테로이드옥시도리덕타아제,Hydroxysteroid Oxidoreductase*,훌륭함,"안티에이징, 수분 공급","항산화제, 보습제(습윤제)","환경 데미지를 방지하기 위해 다양한 형태의 활성 산소를 차단하는 대규모 효소이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
하이드록시아세토페논,Hydroxyacetophenone*,훌륭함,"안티에이징, 수분 공급","항산화제, 보습제(습윤제)","하이드록시아세토페논는 합성 항산화제이자 피부 컨디셔닝제이다. 실제 특정 항산화 화합물은 p-하이드록시아세토페논으로, 여러 유형의 활성 산소를 중화할 수 있는 페놀계 항산화제이다.
또 다른 장점은 화장품의 방부 시스템을 강화하는 것이다. 이러한 특성이 중요한 이유는 페녹시에탄와 같은 방부제를 적게 사용하고도 효과를 발휘할 수 있을뿐더러 알레르기 반응이 일어날 수 있는 위험을 줄여주기 때문이다. 또한 하이드록시아세토페논은 광범위한 pH 범위와 다양한 타입의 에멀젼에서 안정적이므로 활용도가 매우 높다.
스킨케어 및 화장품에서 하이드록시아세토페논의 사용 수준은 0.00068%~5%이며, 방부제 사용량을 줄이면서 방부 효과를 향상시키고자 할 경우 0.5% 농도가 권장된다. 낮은 농도로 사용할 경우 우수한 피부 진정 효과를 가지며, 표준 화장품 방부제로 인한 자극을 완화하는 데 도움을 줄 수 있다.
하이드록시아세토페논의 안전성 평가 초안에 따르면, 일반적으로 화장품에 사용되는 농도에서는 피부에 자극이나 민감 반응을 유발하지 않는 것으로 나타났다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",항산화제,"Journal of Oleo Science, February 2019, pages 183-191
Applied Environmental Microbiology, June 2018, ePublication
Journal of Biosciences, May-June 2004, pages 345-353
Scientific Reports, April 2021, pages 1–7"
하이드록시팔미토일스핑가닌,Hydroxypalmitoyl Sphinganine*,훌륭함,"안티에이징, 수분 공급",유연제(연화제),"하이드록시팔미토일스핑가닌은 세라마이드 전구체로 피부 장벽의 기능과 보습력 개선에 도움을 준다. 피부 최상층의 수분 손실을 막는 데 효과가 있는 것으로 입증되었다.
세라마이드 전구체 (가끔 유사-세라마이드라고도 함)로서 피부 최상층을 살짝 밀어내어 더욱 많은 세라마이드를 생산하도록 유도한다. 세라마이드는 수분 유지 및 탄탄하고 볼륨감있는 피부를 유지하는데 매우 중요하다.
2020년 the Cosmetic Ingredient Review Expert Panel은 하이드록시팔미토일스핑가닌을 화장품에 안전한 성분으로 판단했다. 보고서에 따르면 조사한 제품에서 이 성분의 함량은 0.0025-0.062%이다. (저농도로도 충분한 효능을 발휘할 수 있다.)
합성 성분이거나 식물 또는 동물 유래 성분일 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",카프로오일스핑고신,"International Journal of Toxicology, 2020, pages 5S-25S
Drugs Context, April 2018, pages 1-14
Journal of Drugs in Dermatology, March 2017, pages 243-247
Journal of the American Academy of Dermatology, July 2014, pages 177-184"
하이드록시프로필트라이모늄하이알루로네이트,Hydroxypropyltrimonium Hyaluronate*,훌륭함,"안티에이징, 수분 공급","피막형성제, 보습제(습윤제), 고분자화합물","하이드록시프로필트라이모늄하이알루로네이트는 히알루론산의 새로운 유도체다.이 성분은 히알루론산의 분자 배열과 분자량을 조정하여 강한 양이온성(+) 전하를 띠도록 개발되었다. 피부 표면은 음전하를 가지고 있어, 양전하를 띤 하이드록시프로필트라이모늄하이알루로네이트는 피부에 효과적으로 달라붙어 물에 쉽게 씻겨 나가지 않는 특징이 있다. 이로 인해 바디 워시나 클렌저 같은 씻어내는 제품에 사용해도 보습 효과가 오래 지속된다.
이 차세대 히알루론산은 즉각적이고 장기적으로 피부의 수분을 증진하는 것으로 임상을 통해 입증되었다. 또한 피부 표면에 더 잘 발리고 달라붙는 능력이 뛰어나 피부 장벽을 강화하여 수분 손실을 방지하고 피부를 탱탱하게 유지하는 데 도음울 준다. 일반 히알루론산과 달리 하이드록시프로필트라이모늄하이알루로네이트는 피부 장벽을 강화하는 데 중요한 단백질과 지질에 긍정적인 영향을 미친다.
이 형태의 히알루론산의 피부에 달라붙는 성질이 있어 뛰어난 피막 형성 효과를 제공한다. 그러나 분자 크기가 작고 피부 표면에 균일하게 도포되는 특징 덕분에 끈적이거나 묻어나지 않는 사용감을 제공하는 것이 특징이다.
화장품에 사용되는 하이드록시프로필트라이모늄하이알루로네이트의 사용 수준은 일반적으로 0.1%이다. 하이드록시프로필트라이모늄하이알루로네이트는 다단계 수분 공급(multi-level hydration) 및 피부 장벽 지원을 위해 다른 형태의 히알루론산과 함께 사용된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","하이알루로닉애씨드, 하이드롤라이즈드소듐하이알루로네이트, 소듐하이알루로네이트","International Journal of Cosmetic Science, April 2024, pages 1–11
Journal of Controlled Release, May 2023, pages 432–443
Dermatologic Therapy, October 2022, pages 1–9
International Journal of Biological Macromolecules, December 2018, pages 1,682–1,695"
하이드록시피나콜론레티노에이트,Hydroxypinacolone Retinoate*,훌륭함,"안티아크네, 안티에이징, 피부 톤 개선","항산화제, 레티노이드","하이드록시피나콜론레티노에이트 (이하 HPR)는 레티노익애씨드의 에스터이자, 피부에 강력한 효능을 주는 비타민 A 유도체의 한 종류인 레티노이드 계열에서도 비교적 새롭고 안정적인 성분이다.
익숙치 않은 성분으로 느껴질 수 있겠지만, 그랜액티브레티노이드 (Granactive Retinoid)라는 상표명으로 접해본 적이 있을 것이다. 이 성분 유형은 10%의 HPR과 용매인 90%의 다이메틸아이소소바이드를 혼합해 사용한다.
HPR은 피부 표면의 레티노익애씨드 수용체와 결합해 효능을 전달하는 멀티 태스킹 성분이다. 수용체와 직접적으로 연결되지만, 국소적으로 사용할 때 레티노익애씨드인 트레티노인(tretinoin)보다 순한 것으로 입증되었다. 이는 반응성이 높고 민감성을 유발할 수 있는 순수 레티놀의 대체제로 HPR을 고려할 수 있음을 의미한다.
연구를 통해 HPR이 피부의 노화의 징후와 잡티를 줄이는 효과를 입증했다. 논문에 따르면, HPR은 레티놀 글로스피어와 파파인 글로스피어에 결합할 때 피부 장벽에 혼란을 거의 주지 않으면서 가벼운 피부 트러블과 홍조를 줄이는 데 도움을 준다.
또한 미세한 주름을 줄여주고, 피부 톤을 균일하게 만들어주는 효능이 연구를 통해 추가적으로 입증되었다. 따라서 미세 주름과 피부 톤을 함께 개선하고 싶은 사람에게 HPR은 권장할 만한 성분이다.
HPR의 배합 수준은 0.02%의 낮은 사용량으로 충분히 긍정적인 영향을 줄 수 있다. 그러나 빛과 공기에 노출된 포장용기를 사용할 경우 그 효과는 급격히 감소한다. 다른 비타민 A 유도체 및 항산화제와 마찬가지로 HPR의 효능 유지를 위해 불투명하고 밀폐된 용기를 사용해야 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","레티놀, 레티노이드","ULProspector, Accessed November 2022, Webpage
Journal of Cosmetic Dermatology, November 2020, pages 2350-2358
The Journal of Clinical and Aesthetic Dermatology, July 2019, pages E65-E70
Italian Journal of Dermatology and Venereology, February 2017, pages 13-17"
하이드록실레이티드레시틴,Hydroxylated Lecithin*,훌륭함,수분 공급,"유연제(연화제), 유화제, 세정제","화장품에서 유화제, 연화제 및 세정제 역할을 하는 레시틴(지방산 및 트리글리세라이드의 공급원)의 한 형태이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",레시틴,
하이드롤라이즈드글라이코사미노글리칸,Hydrolyzed Glycosaminoglycans*,훌륭함,"수분 공급, 안티에이징",보습제(습윤제),"물질을 물과 반응시켜 변형된 물질을 형성하는 화학적 과정인 가수분해를 거친 피부 보충(Skin replenishing)성분이다. 피부를 부드럽게 해주는 역할을 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
하이드롤라이즈드로도피세아추출물,Hydrolyzed Rhodophyceae Extract*,훌륭함,"수분 공급, 진정","식물추출물, 보습제(습윤제)","홍조류의 일종으로 스킨 케어 제품에서 사용하는 다른 종류처럼 항산화제의 좋은 공급원이며, 피부에 수분 공급을 향상하여 건강하게 가꿔준다. 연구로 밝혀진바, 이러한 홍조류를 포함해 많은 조류에 있는 항산화제는 손상을 일으키는 UVB 광선을 상쇄하는 데 도움을 준다. 또한 홍조류는 화장품에서 천연 농후제와 겔 제형을 만드는 역할을 하는 카라기난의 풍부한 공급원이다. 흥미로운 점은 이 카라기난의 구조는 피부 장벽의 핵심 부분인 글라이코사미노글리칸과 매우 유사하다는 것이다. 홍조에 있는 카라기닌은 피부 표피층에 걸쳐서 다른 성분을 전달하는 데 도움을 준다. 또한, 홍조류는 식물 콜레스테롤의 공급원이며 이 지방산 화합물은 피부에 이롭다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","조류, 조류추출물","Marine Drugs, October 2018, ePublication; and July 2015, pages 4,197-4,216
Journal of Biomaterials Applications, September 2018, pages 422-434
Free Radical Research, June 2017, pages 555-567"
하이드롤라이즈드로켓잎,Hydrolyzed Eruca Sativa Leaf*,훌륭함,안티에이징,"항산화제, 식물추출물","로켓(Rocket), 루꼴라(Arugula)로 알려진 식용이 가능하고 잎이 무성한 녹색 채소에서 유래한 잎 추출물이다. 피부에 바르면 환경의 해로운 요인으로부터 피부를 보호해주는 데 도움이 되는많은 항산화제와 미네랄의 좋은 공급원이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Journal of Environmental Science and Health, Volume 50, 2015, pages 338-345
Nutrients, December 2014, pages 5,839-5,852; and April 2014, pages 1,519-1,538"
하이드롤라이즈드보검선인장꽃추출물,Hydrolyzed Opuntia Ficus-Indica Flower Extract*,훌륭함,"안티에이징, 진정, 피부 요철 완화","항산화제, 식물추출물","가시선인장으로도 널리 알려진 보검선인장의 원산지는 멕시코이나 현재는 전 세계 수많은 나라에서 자라고 있다. 굉장히 딱딱하고 튼튼한 식물이며 물이 부족한 환경에서도 잘 자라 건조한 지역에서 중요한 작물이다. 보검선인장의 꽃에서 추출한 성분을 가수분해하면 하이드롤라이즈드보검선인장꽃추출물을 얻을 수 있다.
논문에 따르면 보검 선인장 꽃은 매우 좋은 항산화제의 원천으로 피부에 강력한 진정 효과를 선사한다. 선인장의 과육, 씨앗, 줄기, 껍질에는 칼슘, 칼륨, 마그네슘과 같은 피부에 이로운 미네랄과 망간, 아연, 구리와 같은 미량의 미네랄을 함께 함유하고 있다.
식물 전체에 비타민 C, E, K가 존재하며 다양한 아미노산과 갈릭애씨드, 다양한 플라보노이드 (쿼세틴), 리그난, 스틸벤과 같은 항산화 화합물도 함께 존재한다. 이들은 모두 자외선처럼 피부를 공격하는 환경 요인으로부터 피부를 보호하는 데 도움을 준다.
선인장의 꽃부분에만 특이적으로 존재하는 물질로는 폴리페놀, 플라보노이드 항산화제와 피부를 눈에 띄게 회복하는데 도움을 주는 향균성 화합물, 그리고 수분을 공급하는 폴리사카라이드(복합당)가 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Horticulturae, January 2022, pages 1–28
Molecules, February 2021, pages 1–20 and September 2014, pages 14,879–14,901
Bioorganic and Medicinal Chemistry Letters, December 2017, pages 5,485–5,489
International Journal of Biological Macromolecules, November 2015, pages 483–490
Journal of Medicinal Food, October 2015, pages 1,143–1,149"
